Ano,Mes,Maxima_Energia_Armazenada,Energia_Armazenada_Verificada,Porcentagem_Armazenamento_Total,Subsistema,Consumo_Mensal
2012,2,200166.0,156538.75862068954,78.205861847586135,Sudeste / Centro-Oeste,2360266.3791666669
2012,2,19735.0,11099.862068965514,56.245172435172449,Sul,782050.81388888892
2012,3,51809.0,43093.483870967713,83.177741512903111,Nordeste,776124.86944444443
2012,3,12415.0,12274.096774193542,98.866451633225878,Norte,275058.9527777778
2012,3,200166.0,157975.32258064469,78.922257946774408,Sudeste / Centro-Oeste,2645167.6125
2012,3,19735.0,8724.9677419354921,44.210967649354828,Sul,858944.5555555555
2012,4,51809.0,42167.366666666705,81.390333811666764,Nordeste,734402.20833333337
2012,4,12415.0,12324.23333333331,99.271333567333187,Norte,258838.0
2012,4,200166.0,154645.93333333341,77.258667247666779,Sudeste / Centro-Oeste,2564043.4166666665
2012,4,19735.0,6219.5666666666657,31.516333326000009,Sul,771309.29166666663
2012,5,51809.0,39060.000000000007,75.392903234838684,Nordeste,777247.5
2012,5,12415.0,12206.54838709676,98.32322569870972,Norte,275704.82916666666
2012,5,200166.0,149589.64516129036,74.733225421935643,Sudeste / Centro-Oeste,2519085.0152777778
2012,5,19735.0,9104.7741935483864,46.135161123225771,Sul,751189.50277777773
2012,6,51809.0,35860.166666666642,69.216666667000069,Nordeste,719349.33333333337
2012,6,12415.0,11986.200000000004,96.548332976333356,Norte,262907.375
2012,6,200166.0,144590.30000000002,72.235333251999933,Sudeste / Centro-Oeste,2444288.9166666665
2012,6,19735.0,12051.533333333329,61.066666539333355,Sul,726639.45833333337
2012,7,51809.0,32697.774193548332,63.112258048709784,Nordeste,737545.4125
2012,7,12415.0,10534.129032258057,84.851613199677374,Norte,272192.74444444443
2012,7,200166.0,139533.41935483876,69.7090331051613,Sudeste / Centro-Oeste,2444513.7402777779
2012,7,19735.0,13477.935483870961,68.295483004516129,Sul,750575.91805555555
2012,8,51809.0,28809.161290322612,55.606451341612939,Nordeste,763088.85277777782
2012,8,14087.774193548374,9945.5161290322685,70.657741792580708,Norte,284701.63194444444
2012,8,200166.0,124970.12903225803,62.4332259390323,Sudeste / Centro-Oeste,2535374.9125
2012,8,19735.0,14186.935483870966,71.8880643538709,Sul,774243.16944444447
2012,9,51809.0,24257.166666666661,46.820999653999984,Nordeste,734172.33333333337
2012,9,14267.0,7808.2999999999947,54.728666560333288,Norte,272099.70833333331
2012,9,200166.0,104772.23333333338,52.34299977633335,Sudeste / Centro-Oeste,2529108.1666666665
2012,9,19735.0,10572.299999999992,53.572333399000016,Sul,743446.5
2012,10,51809.0,19445.709677419334,37.533548417096746,Nordeste,775496.04305555555
2012,10,14267.0,6643.5806451612943,46.564193110322627,Norte,286634.48194444447
2012,10,200166.0,84328.838709677424,42.12903262774195,Sudeste / Centro-Oeste,2615170.4194444446
2012,10,19735.0,7862.3225806451655,39.839999660322583,Sul,756897.24861111108
2012,11,51809.0,17030.933333333356,32.873666508333343,Nordeste,749656.95833333337
2012,11,14267.0,5645.0666666666693,39.565999985333328,Norte,277166.54166666669
2012,11,200166.0,68558.799999999886,34.250999958999913,Sudeste / Centro-Oeste,2607348.5833333335
2012,11,19735.0,8037.9999999999945,40.730333200333348,Sul,766638.375
2012,12,51809.0,17375.258064516158,33.5364518309677,Nordeste,782780.44027777773
2012,12,14267.0,5874.0967741935419,41.171290489677496,Norte,275267.72916666669
2012,12,200432.51612903213,59904.096774193487,29.888387187419372,Sudeste / Centro-Oeste,2579634.9472222221
2012,12,19886.548387096769,6866.4838709677451,34.533548416774231,Sul,818327.58055555553
2013,1,51809.0,15797.129032258081,30.490967596774198,Nordeste,805078.78333333333
2013,1,14267.0,6247.7741935483891,43.790322333871046,Norte,272243.67916666664
2013,1,200625.0,63892.483870967772,31.846774192580675,Sudeste / Centro-Oeste,2640856.6319444445
2013,1,19996.0,9113.516129032254,45.577096630967709,Sul,805232.70694444445
2013,2,51809.0,19975.857142857207,38.556785856071478,Nordeste,706692.97222222225
2013,2,14267.0,9275.78571428573,65.012856755714324,Norte,234181.22777777776
2013,2,200625.0,85630.321428571377,42.682142666785708,Sudeste / Centro-Oeste,2344541.3444444444
2013,2,19996.0,8250.14285714286,41.259285517499961,Sul,760907.97222222225
2013,3,51809.0,21676.225806451614,41.839354484838765,Nordeste,809652.87638888892
2013,3,14267.0,12158.225806451612,85.216452321935449,Norte,269148.5875
2013,3,200625.0,98464.93548387081,49.079677582580693,Sudeste / Centro-Oeste,2616118.6319444445
2013,3,19996.0,9786.064516129034,48.940322383548363,Sul,825050.74861111108
2013,4,51809.0,23636.233333333348,45.6223333993334,Nordeste,801317.125
2013,4,14267.0,13607.199999999984,95.3716662086667,Norte,271606.45833333331
2013,4,200625.0,119072.40000000002,59.350666554666617,Sudeste / Centro-Oeste,2549001.3333333335
2013,4,19996.0,12686.133333333344,63.444000752333409,Sul,763111.0
2013,5,51809.0,25332.903225806462,48.897096571935435,Nordeste,804033.6958333333
2013,5,14267.0,13663.709677419352,95.7680644370968,Norte,280839.67777777778
2013,5,200625.0,125237.45161290339,62.423225649032346,Sudeste / Centro-Oeste,2614308.8777777776
2013,5,19996.0,11020.387096774195,55.114515981290339,Sul,795002.6638888889
2013,6,51809.0,24647.300000000003,47.573666636000006,Nordeste,745367.95833333337
2013,6,14267.0,13340.466666666673,93.5023335779999,Norte,272315.91666666669
2013,6,200625.0,127750.56666666664,63.676333491333345,Sudeste / Centro-Oeste,2493298.0833333335
2013,6,19996.0,13347.60000000002,66.751667022333308,Sul,754361.75
2013,7,51809.0,22798.516129032214,44.005806707419282,Nordeste,787670.8625
2013,7,14741.387096774213,13260.741935483884,90.009354375806268,Norte,293815.54583333334
2013,7,200625.0,125512.80645161262,62.560322176774207,Sudeste / Centro-Oeste,2547031.3430555556
2013,7,19996.0,17222.225806451592,86.1280645558065,Sul,784725.94861111115
2013,8,51809.0,20179.935483870977,38.951935182258048,Nordeste,793044.2819444444
2013,8,15041.0,11736.774193548386,78.032580467741866,Norte,293364.92638888891
2013,8,200625.0,116733.3870967742,58.185806396774169,Sudeste / Centro-Oeste,2615434.3930555554
2013,8,19996.0,18340.612903225803,91.721290341935486,Sul,815558.89305555553
2013,9,51809.0,17322.666666666653,33.435332997333354,Nordeste,765264.41666666663
2013,9,15041.0,9388.83333333332,62.422000631333461,Norte,286303.25
2013,9,200625.0,103616.96666666667,51.647333272666728,Sudeste / Centro-Oeste,2556636.25
2013,9,19996.0,17741.666666666657,88.726999918333362,Sul,762505.83333333337
2013,10,51809.0,14197.129032258063,27.402580630322532,Nordeste,830209.57916666672
2013,10,15041.0,6514.2580645161361,43.310645318709753,Norte,313000.19722222222
2013,10,200625.0,94824.774193548408,47.265161206451587,Sudeste / Centro-Oeste,2686111.8527777777
2013,10,20053.032258064512,19021.129032258068,94.8596772225806,Sul,797678.13611111115
2013,11,51809.0,11978.133333333326,23.119000053666653,Nordeste,795990.66666666663
2013,11,15041.0,5204.0000000000027,34.599666722333374,Norte,293755.25
2013,11,200625.0,86185.133333333346,42.958333206666744,Sudeste / Centro-Oeste,2654161.3333333335
2013,11,20100.0,16628.666666666668,82.730999756333361,Sul,794863.25
2013,12,51809.0,13456.612903225838,25.973870923225775,Nordeste,818611.4458333333
2013,12,15041.0,5465.1290322580671,36.335483919999959,Norte,313848.99444444443
2013,12,200625.0,84619.129032258032,42.177742127741929,Sudeste / Centro-Oeste,2697314.2625
2013,12,20100.0,13164.6129032258,65.49677436612896,Sul,830195.1555555556
2014,1,51809.0,20556.451612903253,39.677419354838662,Nordeste,839699.62638888892
2014,1,15041.0,8105.903225806449,53.892903358064537,Norte,296103.81944444444
2014,1,200625.0,83909.709677419218,41.824515926451554,Sudeste / Centro-Oeste,2732435.8416666668
2014,1,20100.0,12208.999999999978,60.743225958709722,Sul,888701.8
2014,2,51809.0,21726.60714285713,41.935714039285706,Nordeste,730779.31111111108
2014,2,15041.0,10838.32142857142,72.0585712696428,Norte,256483.96666666667
2014,2,200625.0,73484.071428571478,36.627857072499928,Sudeste / Centro-Oeste,2593589.4833333334
2014,2,20100.0,8970.1428571428569,44.627499852142904,Sul,882522.35555555555
2014,3,51809.0,21503.935483871021,41.505806338387153,Nordeste,835929.12222222227
2014,3,15041.0,12449.580645161281,82.772257404516125,Norte,297511.00416666665
2014,3,200625.0,71303.258064516078,35.5403224574194,Sudeste / Centro-Oeste,2747712.2972222222
2014,3,20100.0,8401.6774193548354,41.799999975161263,Sul,881111.3208333333
2014,4,51809.0,22081.266666666663,42.621000036000034,Nordeste,790613.0
2014,4,15041.0,13137.666666666657,87.3473332716667,Norte,287467.04166666669
2014,4,200625.0,74638.96666666666,37.202666600333366,Sudeste / Centro-Oeste,2620476.5833333335
2014,4,20100.0,8962.600000000004,44.590999729666628,Sul,817779.04166666663
2014,5,51809.0,21720.064516129063,41.9232256483872,Nordeste,818746.59722222225
2014,5,15041.0,13739.451612903198,91.347419246451537,Norte,309965.25416666665
2014,5,201940.16129032266,75984.8709677419,37.628709607419346,Sudeste / Centro-Oeste,2667064.8930555554
2014,5,20100.0,9853.93548387097,49.025483777096838,Sul,818804.7652777778
2014,6,51809.0,19753.666666666664,38.128999964333339,Nordeste,757871.79166666663
2014,6,15041.0,13816.233333333315,91.857333883000067,Norte,293672.0
2014,6,203343.0,75253.700000000055,37.008333206333234,Sudeste / Centro-Oeste,2479092.3333333335
2014,6,20100.0,16314.866666666665,81.168999481000029,Sul,771943.91666666663
2014,7,51809.0,17475.193548387106,33.729999911290307,Nordeste,802825.85833333328
2014,7,15041.0,13364.580645161284,88.854194149354981,Norte,324940.79444444447
2014,7,203343.0,71561.516129032185,35.192903210645063,Sudeste / Centro-Oeste,2544619.5
2014,7,20100.0,19020.806451612872,94.632580911290276,Sul,798705.4847222222
2014,8,51809.0,15067.129032258066,29.081935513225783,Nordeste,813553.70972222218
2014,8,15041.0,11412.548387096806,75.876774941935579,Norte,304082.61666666664
2014,8,203343.0,66164.483870967611,32.539032167419357,Sudeste / Centro-Oeste,2600622.8944444442
2014,8,20100.0,16498.516129032272,82.082902970645065,Sul,826601.99722222227
2014,9,51809.0,12343.699999999984,23.825000191333334,Nordeste,796848.95833333337
2014,9,15041.0,7891.2666666666773,52.46566670699999,Norte,316726.125
2014,9,203343.0,55962.700000000004,27.521666589666651,Sudeste / Centro-Oeste,2545700.5
2014,9,20100.0,14368.833333333341,71.487334188666722,Sul,789404.16666666663
2014,10,51809.0,9238.29032258065,17.830967718709669,Nordeste,849123.1958333333
2014,10,15041.0,5613.967741935493,37.3248390690322,Norte,326275.21527777775
2014,10,203343.0,44958.032258064486,22.109677406129038,Sudeste / Centro-Oeste,2747667.3902777778
2014,10,20100.0,17824.903225806462,88.682903659677478,Sul,832830.4138888889
2014,11,51809.0,6799.5666666666757,13.124333413666678,Nordeste,821527.79166666663
2014,11,15041.0,4532.9333333333243,30.137333425666675,Norte,308341.54166666669
2014,11,203343.0,33694.433333333334,16.570333290666678,Sudeste / Centro-Oeste,2717458.875
2014,11,20100.0,15145.133333333333,75.3493331916667,Sul,848275.16666666663
